Username,Userid,Password,Address ,Fullname,Phone,wallet amount
davolio90@gmail.com,7,xbsbhjs-hsakaq923,"507- 28 West, Austin, TX",Nancy Davolio,3627189374,2
andrey42@gmail.com,8,xbsbhjs-vxgsay162,"908 W Campbell, Dallas, TX",Andrey Fuller,5263892037,3
john12@gmail.com,6,xbsbhjs-jbwbja028,"731 Fondren, Houston, TX",John B Smith,6372819375,1
janet13@gmail.com,13,xbsbhjs-zgsque096,"722 Moss, Humble, TX",Janet Leverling,5273819027,8
margaret00@gmail.com,14,xbsbhjs-jbwbja076,"4100 Old Monk, Spring, TX",Margaret Peacock,1526738902,9
james09@gmail.com,16,xbsbhjs-jbwbw928,"450 Stone, Houston, TX",James E Borg,6189374234,11
steven111@gmail.com,17,xbsbhjs-nvjhgh858,"14 Garrett, Houston,TX",Steven Buchanan,5469283746,12
michael029@gmail.com,19,xbsbhjs-ctayau067,"14 Coventry, Bellaire, TX",Michael Suyama,6262819114,14
robert018@gmail.com,22,xbsbhjs-xrajsq567,"192 Edgeham, Spring, TX",Robert King,7684638263,17
laura999@gmail.com,24,xbsbhjs-vxhayki30,"4726 WoodRuff, Dallas, TX", Laura Callahan,7382916482,19
anne73@gmail.com,25,xbsbhjs-jghata098,"7 Houndstand, Humble, TX",Anne Dodsworth,9264339227,20
